var_from,var_to,corr
SFA 18:0 (Octadecanoic) (gm),Alpha-carotene (mcg),0.0736
Hematocrit (%),Alpha-carotene (mcg),0.0645
SFA 14:0 (Tetradecanoic) (gm),Alpha-carotene (mcg),0.0739
White blood cell count (1000 cells/uL),Alpha-carotene (mcg),-0.03
Lymphocyte number (1000 cells/uL),Alpha-carotene (mcg),0.0365
"Vitamin A, RAE (mcg)",Alpha-carotene (mcg),0.2024
PFA 22:6 (Docosahexaenoic) (gm),Alpha-carotene (mcg),0.1652
Sodium (mmol/L),Alpha-carotene (mcg),-0.0076
SFA 8:0 (Octanoic) (gm),Alpha-carotene (mcg),0.0549
MFA 16:1 (Hexadecenoic) (gm),Alpha-carotene (mcg),0.0614
Thiamin (Vitamin B1) (mg),Alpha-carotene (mcg),0.1362
Eosinophils number (1000 cells/uL),Alpha-carotene (mcg),0.0062
Beta-cryptoxanthin (mcg),Alpha-carotene (mcg),0.2568
Dietary fiber (gm),Alpha-carotene (mcg),0.2922
"Cotinine, Serum (ng/mL)",Alpha-carotene (mcg),-0.0839
Total calcium (mmol/L),Alpha-carotene (mcg),0.0789
Lycopene (mcg),Alpha-carotene (mcg),0.1149
Moisture (gm),Alpha-carotene (mcg),0.193
Potassium (mg),Alpha-carotene (mcg),0.2669
Total fat (gm),Alpha-carotene (mcg),0.1043
Alkaline phosphatase (IU/L),Alpha-carotene (mcg),-0.0609
SFA 16:0 (Hexadecanoic) (gm),Alpha-carotene (mcg),0.0916
Chloride (mmol/L),Alpha-carotene (mcg),-0.0576
PFA 18:3 (Octadecatrienoic) (gm),Alpha-carotene (mcg),0.1494
"Triglycerides, refrigerated  (mmol/L)",Alpha-carotene (mcg),0.0144
MFA 18:1 (Octadecenoic) (gm),Alpha-carotene (mcg),0.0914
Zinc (mg),Alpha-carotene (mcg),0.1165
PFA 20:4 (Eicosatetraenoic) (gm),Alpha-carotene (mcg),0.0688
Red cell distribution width (%),Alpha-carotene (mcg),0.0916
MFA 20:1 (Eicosenoic) (gm),Alpha-carotene (mcg),0.0793
SFA 4:0 (Butanoic) (gm),Alpha-carotene (mcg),0.0745
PFA 20:5 (Eicosapentaenoic) (gm),Alpha-carotene (mcg),0.0163
"Folate, DFE (mcg)",Alpha-carotene (mcg),0.1427
Globulin (g/L),Alpha-carotene (mcg),0.0043
Potassium (mmol/L),Alpha-carotene (mcg),0.0405
Vitamin K (mcg),Alpha-carotene (mcg),0.3158
SFA 6:0 (Hexanoic) (gm),Alpha-carotene (mcg),0.0694
Mean platelet volume (fL),Alpha-carotene (mcg),0.0486
Selenium (mcg),Alpha-carotene (mcg),0.0944
"Iron, refrigerated serum  (umol/L)",Alpha-carotene (mcg),0.0197
Cholesterol (mmol/L),Alpha-carotene (mcg),0.0535
Albumin (g/L),Alpha-carotene (mcg),0.1192
Magnesium (mg),Alpha-carotene (mcg),0.24
Total monounsaturated fatty acids (gm),Alpha-carotene (mcg),0.0889
Total polyunsaturated fatty acids (gm),Alpha-carotene (mcg),0.1421
Lymphocyte percent (%),Alpha-carotene (mcg),0.0656
Vitamin C (mg),Alpha-carotene (mcg),0.3409
SFA 10:0 (Decanoic) (gm),Alpha-carotene (mcg),0.105
PFA 22:5 (Docosapentaenoic) (gm),Alpha-carotene (mcg),0.0673
Mean cell hemoglobin (pg),Alpha-carotene (mcg),-0.024
Phosphorus (mmol/L),Alpha-carotene (mcg),0.0018
Monocyte number (1000 cells/uL),Alpha-carotene (mcg),4e-04
Basophils percent (%),Alpha-carotene (mcg),0.0473
Aspartate aminotransferase AST (U/L),Alpha-carotene (mcg),0.0602
SFA 10:0 (Decanoic) (gm),Alcohol (gm),0.0309
Vitamin E as alpha-tocopherol (mg),Alcohol (gm),0.0406
Alkaline phosphatase (IU/L),Alcohol (gm),-0.0541
Moisture (gm),Alcohol (gm),0.1757
Iron (mg),Alcohol (gm),-0.0433
PFA 20:5 (Eicosapentaenoic) (gm),Alcohol (gm),0.0733
Folic acid (mcg),Alcohol (gm),-0.248
Red cell distribution width (%),Alcohol (gm),-0.0097
Potassium (mmol/L),Alcohol (gm),0.1032
Selenium (mcg),Alcohol (gm),-0.0443
Red blood cell count (million cells/uL),Alcohol (gm),0.0196
SFA 16:0 (Hexadecanoic) (gm),Alcohol (gm),0.0063
Food folate (mcg),Alcohol (gm),0.0966
Cholesterol (mg),Alcohol (gm),-0.0071
Uric acid (umol/L),Alcohol (gm),0.0614
SFA 8:0 (Octanoic) (gm),Alcohol (gm),0.0312
Hemoglobin (g/dL),Alcohol (gm),0.0716
Gamma glutamyl transferase (U/L),Alcohol (gm),-0.0139
Total folate (mcg),Alcohol (gm),0.0371
Thiamin (Vitamin B1) (mg),Alcohol (gm),-0.0488
MFA 22:1 (Docosenoic) (gm),Alcohol (gm),0.0735
Energy (kcal),Alcohol (gm),0.0627
Added vitamin B12 (mcg),Alcohol (gm),-0.0576
Zinc (mg),Alcohol (gm),-0.0129
"Triglycerides, refrigerated  (mmol/L)",Alcohol (gm),0.0131
Total bilirubin (umol/L),Alcohol (gm),0.0502
Segmented neutrophils percent (%),Alcohol (gm),-0.038
"Albumin, urine (mg/L)",Alcohol (gm),-0.0514
Segmented neutrophils num (1000 cell/uL),Alcohol (gm),-0.1068
Added alpha-tocopherol (Vitamin E) (mg),Alcohol (gm),-0.0257
Total calcium (mmol/L),Alcohol (gm),0.1027
Mean platelet volume (fL),Alcohol (gm),-0.0187
SFA 12:0 (Dodecanoic) (gm),Alcohol (gm),0.0237
PFA 22:5 (Docosapentaenoic) (gm),Alcohol (gm),0.0474
Total monounsaturated fatty acids (gm),Alcohol (gm),0.0289
Hematocrit (%),Alcohol (gm),0.0751
Vitamin B6 (mg),Alcohol (gm),-3e-04
Phosphorus (mg),Alcohol (gm),0.0057
Copper (mg),Alcohol (gm),0.0615
Retinol (mcg),Alcohol (gm),0.0146
"Cotinine, Serum (ng/mL)",Alcohol (gm),0.1225
Sodium (mg),Alcohol (gm),0.041
Lymphocyte percent (%),Alcohol (gm),0.0581
"Vitamin A, RAE (mcg)",Alcohol (gm),0.053
Total polyunsaturated fatty acids (gm),Alcohol (gm),0.0571
Riboflavin (Vitamin B2) (mg),Alcohol (gm),0.0188
PFA 20:4 (Eicosatetraenoic) (gm),Alcohol (gm),0.0064
Platelet count (1000 cells/uL),Alcohol (gm),-0.0224
Niacin (mg),Alcohol (gm),-0.0103
Eosinophils percent (%),Alcohol (gm),0.0223
Albumin (g/L),Alcohol (gm),0.0792
PFA 22:6 (Docosahexaenoic) (gm),Alcohol (gm),0.0781
Total protein (g/L),Alcohol (gm),0.0456
SFA 18:0 (Octadecanoic) (gm),Alcohol (gm),0.0074
Basophils number (1000 cells/uL),Alcohol (gm),-0.0364
Bicarbonate (mmol/L),Alcohol (gm),0.0797
Total saturated fatty acids (gm),Alcohol (gm),0.0097
Monocyte number (1000 cells/uL),Alcohol (gm),-0.1711
Basophils percent (%),Alcohol (gm),0.1247
"Glucose, refrigerated serum (mmol/L)",Alcohol (gm),-0.0962
Mean cell hemoglobin (pg),Alcohol (gm),0.0715
"Folate, DFE (mcg)",Alcohol (gm),0.0173
SFA 6:0 (Hexanoic) (gm),Alcohol (gm),0.031
Blood urea nitrogen (mmol/L),Alcohol (gm),-0.1168
Theobromine (mg),Alcohol (gm),0.0867
Glycohemoglobin (%),Alcohol (gm),-0.0594
Vitamin B12 (mcg),Alcohol (gm),-0.0081
Beta-carotene (mcg),Alcohol (gm),0.1054
Calcium (mg),Alcohol (gm),0.0117
Alanine aminotransferase ALT (U/L),Alcohol (gm),-0.0185
Mean cell volume (fL),Alcohol (gm),0.0828
MFA 20:1 (Eicosenoic) (gm),Alcohol (gm),0.0471
Caffeine (mg),Alcohol (gm),0.0622
Creatinine (umol/L),Alcohol (gm),0.0549
Osmolality (mmol/Kg),Alcohol (gm),-0.0943
SFA 4:0 (Butanoic) (gm),Alcohol (gm),0.0232
Beta-cryptoxanthin (mcg),Alcohol (gm),0.026
SFA 14:0 (Tetradecanoic) (gm),Alcohol (gm),0.0194
Protein (gm),Alcohol (gm),-0.0145
Aspartate aminotransferase AST (U/L),Alcohol (gm),-0.0033
Monocyte percent (%),Alcohol (gm),-0.0232
Lutein + zeaxanthin (mcg),Alcohol (gm),0.0967
Potassium (mg),Alcohol (gm),0.0533
Total fat (gm),Alcohol (gm),0.0316
Chloride (mmol/L),Alcohol (gm),-0.0604
PFA 18:3 (Octadecatrienoic) (gm),Alcohol (gm),0.0721
Lymphocyte number (1000 cells/uL),Alcohol (gm),-0.0857
Globulin (g/L),Alcohol (gm),-0.0054
MFA 18:1 (Octadecenoic) (gm),Alcohol (gm),0.0329
White blood cell count (1000 cells/uL),Alcohol (gm),-0.1353
Lactate dehydrogenase (U/L),Alcohol (gm),-0.0175
Vitamin C (mg),Alcohol (gm),0.0315
Cholesterol (mmol/L),Alcohol (gm),0.0732
Eosinophils number (1000 cells/uL),Alcohol (gm),0.0391
Vitamin K (mcg),Alcohol (gm),0.0917
PFA 18:2 (Octadecadienoic) (gm),Alcohol (gm),0.0554
PFA 18:4 (Octadecatetraenoic) (gm),Alcohol (gm),0.0844
"Iron, refrigerated serum  (umol/L)",Alcohol (gm),0.0732
Carbohydrate (gm),Alcohol (gm),0.063
MFA 16:1 (Hexadecenoic) (gm),Alcohol (gm),-0.0034
Lycopene (mcg),Alcohol (gm),0.0304
Sodium (mmol/L),Alcohol (gm),-0.0499
Dietary fiber (gm),Alcohol (gm),-0.0289
Total sugars (gm),Alcohol (gm),0.0926
Phosphorus (mmol/L),Alcohol (gm),-0.0461
Magnesium (mg),Alcohol (gm),0.0635
Total folate (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.1583
SFA 12:0 (Dodecanoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0266
PFA 20:4 (Eicosatetraenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0383
Hemoglobin (g/dL),Added alpha-tocopherol (Vitamin E) (mg),-0.0356
Magnesium (mg),Added alpha-tocopherol (Vitamin E) (mg),0.1142
Niacin (mg),Added alpha-tocopherol (Vitamin E) (mg),0.156
PFA 22:5 (Docosapentaenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),-0.0066
White blood cell count (1000 cells/uL),Added alpha-tocopherol (Vitamin E) (mg),-0.0263
Beta-cryptoxanthin (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.0599
Retinol (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.0751
Folic acid (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.0931
PFA 18:3 (Octadecatrienoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0385
Sodium (mg),Added alpha-tocopherol (Vitamin E) (mg),0.0579
"Folate, DFE (mcg)",Added alpha-tocopherol (Vitamin E) (mg),0.1719
Potassium (mmol/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0126
Vitamin B12 (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.0804
Bicarbonate (mmol/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0037
Red cell distribution width (%),Added alpha-tocopherol (Vitamin E) (mg),0.0038
"Vitamin A, RAE (mcg)",Added alpha-tocopherol (Vitamin E) (mg),0.0811
Uric acid (umol/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0788
Segmented neutrophils percent (%),Added alpha-tocopherol (Vitamin E) (mg),-0.0345
Total sugars (gm),Added alpha-tocopherol (Vitamin E) (mg),0.1262
Iron (mg),Added alpha-tocopherol (Vitamin E) (mg),0.1965
Added vitamin B12 (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.173
Alkaline phosphatase (IU/L),Added alpha-tocopherol (Vitamin E) (mg),0.0487
SFA 4:0 (Butanoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0464
Lymphocyte percent (%),Added alpha-tocopherol (Vitamin E) (mg),0.0507
Mean platelet volume (fL),Added alpha-tocopherol (Vitamin E) (mg),-0.0249
MFA 16:1 (Hexadecenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0631
Lutein + zeaxanthin (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.0799
Beta-carotene (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.034
Caffeine (mg),Added alpha-tocopherol (Vitamin E) (mg),0.0233
Cholesterol (mg),Added alpha-tocopherol (Vitamin E) (mg),0.0155
Albumin (g/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0102
Riboflavin (Vitamin B2) (mg),Added alpha-tocopherol (Vitamin E) (mg),0.1533
Copper (mg),Added alpha-tocopherol (Vitamin E) (mg),0.1228
Total fat (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0792
Creatinine (umol/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0204
Moisture (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0136
Dietary fiber (gm),Added alpha-tocopherol (Vitamin E) (mg),0.1066
Osmolality (mmol/Kg),Added alpha-tocopherol (Vitamin E) (mg),-0.0769
MFA 18:1 (Octadecenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0839
Hematocrit (%),Added alpha-tocopherol (Vitamin E) (mg),-0.041
Protein (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0515
Vitamin E as alpha-tocopherol (mg),Added alpha-tocopherol (Vitamin E) (mg),0.2712
"Glucose, refrigerated serum (mmol/L)",Added alpha-tocopherol (Vitamin E) (mg),-0.0928
Vitamin B6 (mg),Added alpha-tocopherol (Vitamin E) (mg),0.1752
SFA 6:0 (Hexanoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0273
Total saturated fatty acids (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0533
Platelet count (1000 cells/uL),Added alpha-tocopherol (Vitamin E) (mg),-0.018
Calcium (mg),Added alpha-tocopherol (Vitamin E) (mg),0.0849
Eosinophils number (1000 cells/uL),Added alpha-tocopherol (Vitamin E) (mg),-0.0113
Monocyte number (1000 cells/uL),Added alpha-tocopherol (Vitamin E) (mg),-0.014
Food folate (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.0267
Potassium (mg),Added alpha-tocopherol (Vitamin E) (mg),0.1004
Monocyte percent (%),Added alpha-tocopherol (Vitamin E) (mg),-0.0053
"Triglycerides, refrigerated  (mmol/L)",Added alpha-tocopherol (Vitamin E) (mg),-3e-04
Basophils percent (%),Added alpha-tocopherol (Vitamin E) (mg),-0.0265
Segmented neutrophils num (1000 cell/uL),Added alpha-tocopherol (Vitamin E) (mg),-0.0325
SFA 10:0 (Decanoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0099
Carbohydrate (gm),Added alpha-tocopherol (Vitamin E) (mg),0.1248
Total protein (g/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0508
Vitamin C (mg),Added alpha-tocopherol (Vitamin E) (mg),0.2296
MFA 20:1 (Eicosenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.057
Chloride (mmol/L),Added alpha-tocopherol (Vitamin E) (mg),-7e-04
Basophils number (1000 cells/uL),Added alpha-tocopherol (Vitamin E) (mg),-0.0929
Thiamin (Vitamin B1) (mg),Added alpha-tocopherol (Vitamin E) (mg),0.1855
Globulin (g/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0461
Vitamin K (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.0147
SFA 14:0 (Tetradecanoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0261
Alanine aminotransferase ALT (U/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0597
PFA 18:2 (Octadecadienoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0945
Selenium (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.0301
Eosinophils percent (%),Added alpha-tocopherol (Vitamin E) (mg),0.067
SFA 8:0 (Octanoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0242
Phosphorus (mmol/L),Added alpha-tocopherol (Vitamin E) (mg),0.0021
Glycohemoglobin (%),Added alpha-tocopherol (Vitamin E) (mg),-0.0505
SFA 16:0 (Hexadecanoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0687
"Cotinine, Serum (ng/mL)",Added alpha-tocopherol (Vitamin E) (mg),-0.0224
Cholesterol (mmol/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0136
Theobromine (mg),Added alpha-tocopherol (Vitamin E) (mg),0.0407
Red blood cell count (million cells/uL),Added alpha-tocopherol (Vitamin E) (mg),-0.0253
Lycopene (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.0347
Mean cell hemoglobin (pg),Added alpha-tocopherol (Vitamin E) (mg),-0.0175
Gamma glutamyl transferase (U/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0772
Total calcium (mmol/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0426
"Iron, refrigerated serum  (umol/L)",Added alpha-tocopherol (Vitamin E) (mg),-0.042
PFA 20:5 (Eicosapentaenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.03
Total monounsaturated fatty acids (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0898
Zinc (mg),Added alpha-tocopherol (Vitamin E) (mg),0.1521
"Albumin, urine (mg/L)",Added alpha-tocopherol (Vitamin E) (mg),-0.0042
Total bilirubin (umol/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0719
PFA 22:6 (Docosahexaenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0256
Blood urea nitrogen (mmol/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0818
Aspartate aminotransferase AST (U/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0189
PFA 18:4 (Octadecatetraenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0208
Total polyunsaturated fatty acids (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0903
MFA 22:1 (Docosenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),-0.0251
Sodium (mmol/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0359
Energy (kcal),Added alpha-tocopherol (Vitamin E) (mg),0.1036
Mean cell volume (fL),Added alpha-tocopherol (Vitamin E) (mg),-0.0227
SFA 18:0 (Octadecanoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0447
Phosphorus (mg),Added alpha-tocopherol (Vitamin E) (mg),0.0674
Lymphocyte number (1000 cells/uL),Added alpha-tocopherol (Vitamin E) (mg),0.0229
Lactate dehydrogenase (U/L),Added alpha-tocopherol (Vitamin E) (mg),0.027
Total protein (g/L),Vitamin E as alpha-tocopherol (mg),0.0186
"Triglycerides, refrigerated  (mmol/L)",Vitamin E as alpha-tocopherol (mg),0.0624
Total bilirubin (umol/L),Vitamin E as alpha-tocopherol (mg),-0.0022
Potassium (mmol/L),Vitamin E as alpha-tocopherol (mg),0.0754
Hematocrit (%),Vitamin E as alpha-tocopherol (mg),0.1101
Lactate dehydrogenase (U/L),Vitamin E as alpha-tocopherol (mg),0.0661
Bicarbonate (mmol/L),Vitamin E as alpha-tocopherol (mg),0.1561
PFA 18:4 (Octadecatetraenoic) (gm),Vitamin E as alpha-tocopherol (mg),0.1537
Hemoglobin (g/dL),Vitamin E as alpha-tocopherol (mg),0.0992
Vitamin B12 (mcg),Vitamin E as alpha-tocopherol (mg),0.2137
Eosinophils percent (%),Vitamin E as alpha-tocopherol (mg),0.1263
SFA 4:0 (Butanoic) (gm),Vitamin E as alpha-tocopherol (mg),0.2769
Gamma glutamyl transferase (U/L),Vitamin E as alpha-tocopherol (mg),0.0742
Blood urea nitrogen (mmol/L),Vitamin E as alpha-tocopherol (mg),0.0561
PFA 20:5 (Eicosapentaenoic) (gm),Vitamin E as alpha-tocopherol (mg),0.2927
Alkaline phosphatase (IU/L),Vitamin E as alpha-tocopherol (mg),0.033
Beta-carotene (mcg),Vitamin E as alpha-tocopherol (mg),0.3119
Vitamin K (mcg),Vitamin E as alpha-tocopherol (mg),0.5992
Food folate (mcg),Vitamin E as alpha-tocopherol (mg),0.6544
Creatinine (umol/L),Vitamin E as alpha-tocopherol (mg),0.1462
MFA 16:1 (Hexadecenoic) (gm),Vitamin E as alpha-tocopherol (mg),0.4488
Energy (kcal),Vitamin E as alpha-tocopherol (mg),0.6986
SFA 6:0 (Hexanoic) (gm),Vitamin E as alpha-tocopherol (mg),0.2251
White blood cell count (1000 cells/uL),Vitamin E as alpha-tocopherol (mg),0.0628
Iron (mg),Vitamin E as alpha-tocopherol (mg),0.6053
Protein (gm),Vitamin E as alpha-tocopherol (mg),0.5972
Potassium (mg),Vitamin E as alpha-tocopherol (mg),0.6748
Dietary fiber (gm),Vitamin E as alpha-tocopherol (mg),0.6967
SFA 16:0 (Hexadecanoic) (gm),Vitamin E as alpha-tocopherol (mg),0.6284
MFA 18:1 (Octadecenoic) (gm),Vitamin E as alpha-tocopherol (mg),0.7638
Thiamin (Vitamin B1) (mg),Vitamin E as alpha-tocopherol (mg),0.5614
SFA 18:0 (Octadecanoic) (gm),Vitamin E as alpha-tocopherol (mg),0.5289
SFA 10:0 (Decanoic) (gm),Vitamin E as alpha-tocopherol (mg),0.2953
Uric acid (umol/L),Vitamin E as alpha-tocopherol (mg),0.0691
Red cell distribution width (%),Vitamin E as alpha-tocopherol (mg),-0.0178
Cholesterol (mmol/L),Vitamin E as alpha-tocopherol (mg),-0.0277
Segmented neutrophils num (1000 cell/uL),Vitamin E as alpha-tocopherol (mg),0.0641
Theobromine (mg),Vitamin E as alpha-tocopherol (mg),0.1633
Sodium (mmol/L),Vitamin E as alpha-tocopherol (mg),-0.0325
Moisture (gm),Vitamin E as alpha-tocopherol (mg),0.2458
MFA 20:1 (Eicosenoic) (gm),Vitamin E as alpha-tocopherol (mg),0.5482
Vitamin B6 (mg),Vitamin E as alpha-tocopherol (mg),0.5739
"Folate, DFE (mcg)",Vitamin E as alpha-tocopherol (mg),0.5433
"Iron, refrigerated serum  (umol/L)",Vitamin E as alpha-tocopherol (mg),-0.001
SFA 14:0 (Tetradecanoic) (gm),Vitamin E as alpha-tocopherol (mg),0.3225
"Vitamin A, RAE (mcg)",Vitamin E as alpha-tocopherol (mg),0.3533
Zinc (mg),Vitamin E as alpha-tocopherol (mg),0.5592
Niacin (mg),Vitamin E as alpha-tocopherol (mg),0.6118
Total folate (mcg),Vitamin E as alpha-tocopherol (mg),0.5897
Albumin (g/L),Vitamin E as alpha-tocopherol (mg),0.0788
Sodium (mg),Vitamin E as alpha-tocopherol (mg),0.6362
Total calcium (mmol/L),Vitamin E as alpha-tocopherol (mg),0.0308
Eosinophils number (1000 cells/uL),Vitamin E as alpha-tocopherol (mg),0.1255
Carbohydrate (gm),Vitamin E as alpha-tocopherol (mg),0.5801
Calcium (mg),Vitamin E as alpha-tocopherol (mg),0.4231
PFA 20:4 (Eicosatetraenoic) (gm),Vitamin E as alpha-tocopherol (mg),0.3406
"Glucose, refrigerated serum (mmol/L)",Vitamin E as alpha-tocopherol (mg),-0.0596
MFA 22:1 (Docosenoic) (gm),Vitamin E as alpha-tocopherol (mg),0.2218
Chloride (mmol/L),Vitamin E as alpha-tocopherol (mg),-0.0841
Copper (mg),Vitamin E as alpha-tocopherol (mg),0.7024
Mean cell volume (fL),Vitamin E as alpha-tocopherol (mg),0.0016
PFA 18:2 (Octadecadienoic) (gm),Vitamin E as alpha-tocopherol (mg),0.8072
Platelet count (1000 cells/uL),Vitamin E as alpha-tocopherol (mg),-0.0673
Caffeine (mg),Vitamin E as alpha-tocopherol (mg),0.1425
Monocyte number (1000 cells/uL),Vitamin E as alpha-tocopherol (mg),0.0359
Total saturated fatty acids (gm),Vitamin E as alpha-tocopherol (mg),0.5762
Total fat (gm),Vitamin E as alpha-tocopherol (mg),0.7469
"Cotinine, Serum (ng/mL)",Vitamin E as alpha-tocopherol (mg),-0.0569
Lymphocyte number (1000 cells/uL),Vitamin E as alpha-tocopherol (mg),0.0257
Phosphorus (mmol/L),Vitamin E as alpha-tocopherol (mg),-0.0251
Monocyte percent (%),Vitamin E as alpha-tocopherol (mg),-0.0326
Added vitamin B12 (mcg),Vitamin E as alpha-tocopherol (mg),0.0576
Total monounsaturated fatty acids (gm),Vitamin E as alpha-tocopherol (mg),0.7478
Total sugars (gm),Vitamin E as alpha-tocopherol (mg),0.3583
Cholesterol (mg),Vitamin E as alpha-tocopherol (mg),0.22
Phosphorus (mg),Vitamin E as alpha-tocopherol (mg),0.6469
