var_from,var_to,corr
Sodium (mmol/L),Alpha-carotene (mcg),-0.0022
SFA 8:0 (Octanoic) (gm),Alpha-carotene (mcg),0.1154
MFA 16:1 (Hexadecenoic) (gm),Alpha-carotene (mcg),0.1415
Thiamin (Vitamin B1) (mg),Alpha-carotene (mcg),0.2596
Eosinophils number,Alpha-carotene (mcg),0.0459
Beta-cryptoxanthin (mcg),Alpha-carotene (mcg),0.4883
Dietary fiber (gm),Alpha-carotene (mcg),0.2819
Cotinine (ng/mL),Alpha-carotene (mcg),-0.0623
Total calcium (mmol/L),Alpha-carotene (mcg),0.0546
Lycopene (mcg),Alpha-carotene (mcg),0.2046
Moisture (gm),Alpha-carotene (mcg),0.1869
Potassium (mg),Alpha-carotene (mcg),0.3018
Total fat (gm),Alpha-carotene (mcg),0.1993
Alkaline phosphotase (U/L),Alpha-carotene (mcg),-0.1202
SFA 16:0 (Hexadecanoic) (gm),Alpha-carotene (mcg),0.2041
Chloride (mmol/L),Alpha-carotene (mcg),0.0092
PFA 18:3 (Octadecatrienoic) (gm),Alpha-carotene (mcg),0.2879
Triglycerides (mmol/L),Alpha-carotene (mcg),-0.0024
MFA 18:1 (Octadecenoic) (gm),Alpha-carotene (mcg),0.1836
Zinc (mg),Alpha-carotene (mcg),0.2359
PFA 20:4 (Eicosatetraenoic) (gm),Alpha-carotene (mcg),0.1498
Red cell distribution width (%),Alpha-carotene (mcg),-0.0725
MFA 20:1 (Eicosenoic) (gm),Alpha-carotene (mcg),0.2085
SFA 4:0 (Butanoic) (gm),Alpha-carotene (mcg),0.1624
PFA 20:5 (Eicosapentaenoic) (gm),Alpha-carotene (mcg),0.0906
"Folate, DFE (mcg)",Alpha-carotene (mcg),0.2589
Globulin (g/L),Alpha-carotene (mcg),0.0019
Potassium (mmol/L),Alpha-carotene (mcg),-0.0786
Vitamin K (mcg),Alpha-carotene (mcg),0.3192
SFA 6:0 (Hexanoic) (gm),Alpha-carotene (mcg),0.1685
Mean platelet volume (fL),Alpha-carotene (mcg),-0.0439
Selenium (mcg),Alpha-carotene (mcg),0.2343
"Iron, refigerated (umol/L)",Alpha-carotene (mcg),-0.0384
Cholesterol (mmol/L),Alpha-carotene (mcg),-0.0019
Albumin (g/L),Alpha-carotene (mcg),0.0531
Magnesium (mg),Alpha-carotene (mcg),0.3104
Total monounsaturated fatty acids (gm),Alpha-carotene (mcg),0.1823
Total polyunsaturated fatty acids (gm),Alpha-carotene (mcg),0.2288
Lymphocyte percent (%),Alpha-carotene (mcg),-0.0418
Vitamin C (mg),Alpha-carotene (mcg),0.3528
SFA 10:0 (Decanoic) (gm),Alpha-carotene (mcg),0.1797
PFA 22:5 (Docosapentaenoic) (gm),Alpha-carotene (mcg),0.0406
Mean cell hemoglobin (pg),Alpha-carotene (mcg),0.1204
Phosphorus (mmol/L),Alpha-carotene (mcg),-0.0151
Monocyte number,Alpha-carotene (mcg),0.0147
Basophils percent (%),Alpha-carotene (mcg),-0.0225
Aspartate aminotransferase AST (U/L),Alpha-carotene (mcg),0.0137
SFA 10:0 (Decanoic) (gm),Alcohol (gm),-0.037
Vitamin E as alpha-tocopherol (mg),Alcohol (gm),-0.0104
Alkaline phosphotase (U/L),Alcohol (gm),-0.1035
Moisture (gm),Alcohol (gm),0.1528
Iron (mg),Alcohol (gm),0.0649
PFA 20:5 (Eicosapentaenoic) (gm),Alcohol (gm),0.0755
Folic acid (mcg),Alcohol (gm),0.0022
Red cell distribution width (%),Alcohol (gm),-0.0481
Potassium (mmol/L),Alcohol (gm),-0.0368
Selenium (mcg),Alcohol (gm),0.0838
Red blood cell count (million cells/uL),Alcohol (gm),0.0311
SFA 16:0 (Hexadecanoic) (gm),Alcohol (gm),-0.0176
Food folate (mcg),Alcohol (gm),0.1048
Cholesterol (mg),Alcohol (gm),0.0232
Uric acid (umol/L),Alcohol (gm),0.0183
SFA 8:0 (Octanoic) (gm),Alcohol (gm),-0.0487
Hemoglobin (g/dL),Alcohol (gm),0.0822
Gamma glutamyl transferase (U/L),Alcohol (gm),0.0278
Total Folate (mcg),Alcohol (gm),0.078
Thiamin (Vitamin B1) (mg),Alcohol (gm),0.0489
MFA 22:1 (Docosenoic) (gm),Alcohol (gm),0.0284
Energy (kcal),Alcohol (gm),0.1106
Added vitamin B12 (mcg),Alcohol (gm),-0.0739
Zinc (mg),Alcohol (gm),0.0621
Triglycerides (mmol/L),Alcohol (gm),-0.0014
"Bilirubin, total (umol/L)",Alcohol (gm),0.0393
Segmented neutrophils percent (%),Alcohol (gm),0.0357
"Albumin, urine (mg/L) SI",Alcohol (gm),-0.042
Segmented neutrophils number,Alcohol (gm),0.0568
Added alpha-tocopherol (Vitamin E) (mg),Alcohol (gm),-0.0088
Total calcium (mmol/L),Alcohol (gm),-0.0398
Mean platelet volume (fL),Alcohol (gm),0.075
SFA 12:0 (Dodecanoic) (gm),Alcohol (gm),-0.0086
PFA 22:5 (Docosapentaenoic) (gm),Alcohol (gm),0.1381
Total monounsaturated fatty acids (gm),Alcohol (gm),-0.0085
Hematocrit (%),Alcohol (gm),0.0922
Vitamin B6 (mg),Alcohol (gm),0.1161
Phosphorus (mg),Alcohol (gm),0.0714
Copper (mg),Alcohol (gm),0.077
Retinol (mcg),Alcohol (gm),-0.0757
Cotinine (ng/mL),Alcohol (gm),0.1747
Sodium (mg),Alcohol (gm),0.0946
Lymphocyte percent (%),Alcohol (gm),-0.078
"Vitamin A, RAE (mcg)",Alcohol (gm),-0.0675
Total polyunsaturated fatty acids (gm),Alcohol (gm),-0.0094
Riboflavin (Vitamin B2) (mg),Alcohol (gm),0.0423
PFA 20:4 (Eicosatetraenoic) (gm),Alcohol (gm),0.0648
Platelet count SI (1000 cells/uL),Alcohol (gm),-0.08
Niacin (mg),Alcohol (gm),0.1277
Eosinophils percent (%),Alcohol (gm),0.0454
Albumin (g/L),Alcohol (gm),0.0136
PFA 22:6 (Docosahexaenoic) (gm),Alcohol (gm),0.0731
Total protein (g/L),Alcohol (gm),-0.0211
SFA 18:0 (Octadecanoic) (gm),Alcohol (gm),-0.0136
Basophils number,Alcohol (gm),0.0056
Bicarbonate (mmol/L),Alcohol (gm),0.0405
Total saturated fatty acids (gm),Alcohol (gm),-0.0229
Monocyte number,Alcohol (gm),0.0838
Basophils percent (%),Alcohol (gm),-0.0241
"Glucose, serum (mmol/L)",Alcohol (gm),-0.0274
Mean cell hemoglobin (pg),Alcohol (gm),0.0748
"Folate, DFE (mcg)",Alcohol (gm),0.0672
SFA 6:0 (Hexanoic) (gm),Alcohol (gm),-0.0447
Blood urea nitrogen (mmol/L),Alcohol (gm),0.0445
Theobromine (mg),Alcohol (gm),-0.0313
Glycohemoglobin (%),Alcohol (gm),-0.0961
Vitamin B12 (mcg),Alcohol (gm),0.0128
Beta-carotene (mcg),Alcohol (gm),0.024
Calcium (mg),Alcohol (gm),0.0134
Alanine aminotransferase ALT (U/L),Alcohol (gm),-0.0449
Mean cell volume (fL),Alcohol (gm),0.1091
MFA 20:1 (Eicosenoic) (gm),Alcohol (gm),0.0228
Caffeine (mg),Alcohol (gm),0.0339
Creatinine (umol/L),Alcohol (gm),0.0957
Osmolality (mmol/Kg),Alcohol (gm),0.0125
SFA 4:0 (Butanoic) (gm),Alcohol (gm),-0.0479
Beta-cryptoxanthin (mcg),Alcohol (gm),0.0765
SFA 14:0 (Tetradecanoic) (gm),Alcohol (gm),-0.0198
Protein (gm),Alcohol (gm),0.0943
Aspartate aminotransferase AST (U/L),Alcohol (gm),-0.0369
Monocyte percent (%),Alcohol (gm),0.0287
Lutein + zeaxanthin (mcg),Alcohol (gm),0.0357
Potassium (mg),Alcohol (gm),0.083
Total fat (gm),Alcohol (gm),-0.0173
Chloride (mmol/L),Alcohol (gm),-0.0304
PFA 18:3 (Octadecatrienoic) (gm),Alcohol (gm),-0.0041
Lymphocyte number,Alcohol (gm),-0.0159
Globulin (g/L),Alcohol (gm),-0.0353
MFA 18:1 (Octadecenoic) (gm),Alcohol (gm),-0.007
White blood cell count (1000 cells/uL),Alcohol (gm),0.0579
Lactate dehydrogenase LDH (U/L),Alcohol (gm),-0.0763
Vitamin C (mg),Alcohol (gm),0.0338
Cholesterol (mmol/L),Alcohol (gm),-0.0551
Eosinophils number,Alcohol (gm),0.0443
Vitamin K (mcg),Alcohol (gm),0.0157
PFA 18:2 (Octadecadienoic) (gm),Alcohol (gm),-0.0094
PFA 18:4 (Octadecatetraenoic) (gm),Alcohol (gm),-0.0131
"Iron, refigerated (umol/L)",Alcohol (gm),0.0492
Carbohydrate (gm),Alcohol (gm),0.0661
MFA 16:1 (Hexadecenoic) (gm),Alcohol (gm),0.0185
Lycopene (mcg),Alcohol (gm),0.0461
Sodium (mmol/L),Alcohol (gm),0.0037
Dietary fiber (gm),Alcohol (gm),-0.0273
Total sugars (gm),Alcohol (gm),-3e-04
Phosphorus (mmol/L),Alcohol (gm),-0.0746
Magnesium (mg),Alcohol (gm),0.0943
Total Folate (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.1505
SFA 12:0 (Dodecanoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0444
PFA 20:4 (Eicosatetraenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),-0.0066
Hemoglobin (g/dL),Added alpha-tocopherol (Vitamin E) (mg),0.0511
Magnesium (mg),Added alpha-tocopherol (Vitamin E) (mg),0.1191
Niacin (mg),Added alpha-tocopherol (Vitamin E) (mg),0.1277
PFA 22:5 (Docosapentaenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),-0.0091
White blood cell count (1000 cells/uL),Added alpha-tocopherol (Vitamin E) (mg),0.0162
Beta-cryptoxanthin (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.0747
Retinol (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.0526
Folic acid (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.0669
PFA 18:3 (Octadecatrienoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),-0.0042
Sodium (mg),Added alpha-tocopherol (Vitamin E) (mg),0.0138
"Folate, DFE (mcg)",Added alpha-tocopherol (Vitamin E) (mg),0.1562
Potassium (mmol/L),Added alpha-tocopherol (Vitamin E) (mg),0.0128
Vitamin B12 (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.1178
Bicarbonate (mmol/L),Added alpha-tocopherol (Vitamin E) (mg),0.0114
Red cell distribution width (%),Added alpha-tocopherol (Vitamin E) (mg),-0.0774
"Vitamin A, RAE (mcg)",Added alpha-tocopherol (Vitamin E) (mg),0.0734
Uric acid (umol/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0279
Segmented neutrophils percent (%),Added alpha-tocopherol (Vitamin E) (mg),0.0406
Total sugars (gm),Added alpha-tocopherol (Vitamin E) (mg),-0.0328
Iron (mg),Added alpha-tocopherol (Vitamin E) (mg),0.1371
Added vitamin B12 (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.2775
Alkaline phosphotase (U/L),Added alpha-tocopherol (Vitamin E) (mg),0.0104
SFA 4:0 (Butanoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0404
Lymphocyte percent (%),Added alpha-tocopherol (Vitamin E) (mg),-0.0247
Mean platelet volume (fL),Added alpha-tocopherol (Vitamin E) (mg),0.0464
MFA 16:1 (Hexadecenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),-0.0145
Lutein + zeaxanthin (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.054
Beta-carotene (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.0396
Caffeine (mg),Added alpha-tocopherol (Vitamin E) (mg),-0.0126
Cholesterol (mg),Added alpha-tocopherol (Vitamin E) (mg),0.0093
Albumin (g/L),Added alpha-tocopherol (Vitamin E) (mg),0.0345
Riboflavin (Vitamin B2) (mg),Added alpha-tocopherol (Vitamin E) (mg),0.1261
Copper (mg),Added alpha-tocopherol (Vitamin E) (mg),0.0968
Total fat (gm),Added alpha-tocopherol (Vitamin E) (mg),-0.0041
Creatinine (umol/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0492
Moisture (gm),Added alpha-tocopherol (Vitamin E) (mg),-0.0397
Dietary fiber (gm),Added alpha-tocopherol (Vitamin E) (mg),0.083
Osmolality (mmol/Kg),Added alpha-tocopherol (Vitamin E) (mg),0.0271
MFA 18:1 (Octadecenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),-0.0126
Hematocrit (%),Added alpha-tocopherol (Vitamin E) (mg),0.0446
Protein (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0278
Vitamin E as alpha-tocopherol (mg),Added alpha-tocopherol (Vitamin E) (mg),0.1546
"Glucose, serum (mmol/L)",Added alpha-tocopherol (Vitamin E) (mg),-0.0173
Vitamin B6 (mg),Added alpha-tocopherol (Vitamin E) (mg),0.1898
SFA 6:0 (Hexanoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0372
Total saturated fatty acids (gm),Added alpha-tocopherol (Vitamin E) (mg),-0.0019
Platelet count SI (1000 cells/uL),Added alpha-tocopherol (Vitamin E) (mg),-0.0186
Calcium (mg),Added alpha-tocopherol (Vitamin E) (mg),0.0747
Eosinophils number,Added alpha-tocopherol (Vitamin E) (mg),0.029
Monocyte number,Added alpha-tocopherol (Vitamin E) (mg),-0.0335
Food folate (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.0689
Potassium (mg),Added alpha-tocopherol (Vitamin E) (mg),0.0566
Monocyte percent (%),Added alpha-tocopherol (Vitamin E) (mg),-0.0556
Triglycerides (mmol/L),Added alpha-tocopherol (Vitamin E) (mg),0.0938
Basophils percent (%),Added alpha-tocopherol (Vitamin E) (mg),-0.0176
Segmented neutrophils number,Added alpha-tocopherol (Vitamin E) (mg),0.0285
SFA 10:0 (Decanoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0343
Carbohydrate (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0213
Total protein (g/L),Added alpha-tocopherol (Vitamin E) (mg),0.045
Vitamin C (mg),Added alpha-tocopherol (Vitamin E) (mg),0.0789
MFA 20:1 (Eicosenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0085
Chloride (mmol/L),Added alpha-tocopherol (Vitamin E) (mg),0.0456
Basophils number,Added alpha-tocopherol (Vitamin E) (mg),-0.0606
Thiamin (Vitamin B1) (mg),Added alpha-tocopherol (Vitamin E) (mg),0.1312
Globulin (g/L),Added alpha-tocopherol (Vitamin E) (mg),0.0256
Vitamin K (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.0188
SFA 14:0 (Tetradecanoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0117
Alanine aminotransferase ALT (U/L),Added alpha-tocopherol (Vitamin E) (mg),0.0516
PFA 18:2 (Octadecadienoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0042
Selenium (mcg),Added alpha-tocopherol (Vitamin E) (mg),0.0439
Eosinophils percent (%),Added alpha-tocopherol (Vitamin E) (mg),-0.0279
SFA 8:0 (Octanoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0415
Phosphorus (mmol/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0138
Glycohemoglobin (%),Added alpha-tocopherol (Vitamin E) (mg),0.0046
SFA 16:0 (Hexadecanoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),-0.0072
Cotinine (ng/mL),Added alpha-tocopherol (Vitamin E) (mg),-0.1049
Cholesterol (mmol/L),Added alpha-tocopherol (Vitamin E) (mg),0.0099
Theobromine (mg),Added alpha-tocopherol (Vitamin E) (mg),0.0332
Red blood cell count (million cells/uL),Added alpha-tocopherol (Vitamin E) (mg),0.0131
Lycopene (mcg),Added alpha-tocopherol (Vitamin E) (mg),-0.0077
Mean cell hemoglobin (pg),Added alpha-tocopherol (Vitamin E) (mg),0.0602
Gamma glutamyl transferase (U/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0051
Total calcium (mmol/L),Added alpha-tocopherol (Vitamin E) (mg),-0.0067
"Iron, refigerated (umol/L)",Added alpha-tocopherol (Vitamin E) (mg),0.0625
PFA 20:5 (Eicosapentaenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),-0.0193
Total monounsaturated fatty acids (gm),Added alpha-tocopherol (Vitamin E) (mg),-0.0113
Zinc (mg),Added alpha-tocopherol (Vitamin E) (mg),0.0748
"Albumin, urine (mg/L) SI",Added alpha-tocopherol (Vitamin E) (mg),0.0204
"Bilirubin, total (umol/L)",Added alpha-tocopherol (Vitamin E) (mg),0.0572
PFA 22:6 (Docosahexaenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.07
Blood urea nitrogen (mmol/L),Added alpha-tocopherol (Vitamin E) (mg),0.0064
Aspartate aminotransferase AST (U/L),Added alpha-tocopherol (Vitamin E) (mg),0.0259
PFA 18:4 (Octadecatetraenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),-0.0481
Total polyunsaturated fatty acids (gm),Added alpha-tocopherol (Vitamin E) (mg),0.008
MFA 22:1 (Docosenoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),0.0033
Sodium (mmol/L),Added alpha-tocopherol (Vitamin E) (mg),0.0351
Energy (kcal),Added alpha-tocopherol (Vitamin E) (mg),0.006
Mean cell volume (fL),Added alpha-tocopherol (Vitamin E) (mg),0.0663
SFA 18:0 (Octadecanoic) (gm),Added alpha-tocopherol (Vitamin E) (mg),-0.0159
Phosphorus (mg),Added alpha-tocopherol (Vitamin E) (mg),0.0599
Lymphocyte number,Added alpha-tocopherol (Vitamin E) (mg),-0.0089
Lactate dehydrogenase LDH (U/L),Added alpha-tocopherol (Vitamin E) (mg),0.0272
Total protein (g/L),Vitamin E as alpha-tocopherol (mg),-0.0288
Triglycerides (mmol/L),Vitamin E as alpha-tocopherol (mg),-0.0568
"Bilirubin, total (umol/L)",Vitamin E as alpha-tocopherol (mg),0.0161
Potassium (mmol/L),Vitamin E as alpha-tocopherol (mg),0.056
Hematocrit (%),Vitamin E as alpha-tocopherol (mg),0.0286
Lactate dehydrogenase LDH (U/L),Vitamin E as alpha-tocopherol (mg),-0.008
Bicarbonate (mmol/L),Vitamin E as alpha-tocopherol (mg),3e-04
PFA 18:4 (Octadecatetraenoic) (gm),Vitamin E as alpha-tocopherol (mg),0.115
Hemoglobin (g/dL),Vitamin E as alpha-tocopherol (mg),0.0313
Vitamin B12 (mcg),Vitamin E as alpha-tocopherol (mg),0.2721
Eosinophils percent (%),Vitamin E as alpha-tocopherol (mg),0.0397
SFA 4:0 (Butanoic) (gm),Vitamin E as alpha-tocopherol (mg),0.2984
Gamma glutamyl transferase (U/L),Vitamin E as alpha-tocopherol (mg),-0.0206
Blood urea nitrogen (mmol/L),Vitamin E as alpha-tocopherol (mg),0.0629
PFA 20:5 (Eicosapentaenoic) (gm),Vitamin E as alpha-tocopherol (mg),0.1796
Alkaline phosphotase (U/L),Vitamin E as alpha-tocopherol (mg),-0.0133
Beta-carotene (mcg),Vitamin E as alpha-tocopherol (mg),0.51
Vitamin K (mcg),Vitamin E as alpha-tocopherol (mg),0.7841
Food folate (mcg),Vitamin E as alpha-tocopherol (mg),0.5799
Creatinine (umol/L),Vitamin E as alpha-tocopherol (mg),0.0288
MFA 16:1 (Hexadecenoic) (gm),Vitamin E as alpha-tocopherol (mg),0.5219
Energy (kcal),Vitamin E as alpha-tocopherol (mg),0.6055
SFA 6:0 (Hexanoic) (gm),Vitamin E as alpha-tocopherol (mg),0.2963
White blood cell count (1000 cells/uL),Vitamin E as alpha-tocopherol (mg),-0.0052
Iron (mg),Vitamin E as alpha-tocopherol (mg),0.5198
Protein (gm),Vitamin E as alpha-tocopherol (mg),0.5044
Potassium (mg),Vitamin E as alpha-tocopherol (mg),0.5747
Dietary fiber (gm),Vitamin E as alpha-tocopherol (mg),0.7207
SFA 16:0 (Hexadecanoic) (gm),Vitamin E as alpha-tocopherol (mg),0.7746
MFA 18:1 (Octadecenoic) (gm),Vitamin E as alpha-tocopherol (mg),0.7952
Thiamin (Vitamin B1) (mg),Vitamin E as alpha-tocopherol (mg),0.52
SFA 18:0 (Octadecanoic) (gm),Vitamin E as alpha-tocopherol (mg),0.7248
SFA 10:0 (Decanoic) (gm),Vitamin E as alpha-tocopherol (mg),0.3161
Uric acid (umol/L),Vitamin E as alpha-tocopherol (mg),-0.0231
Red cell distribution width (%),Vitamin E as alpha-tocopherol (mg),-0.052
Cholesterol (mmol/L),Vitamin E as alpha-tocopherol (mg),-0.0452
Segmented neutrophils number,Vitamin E as alpha-tocopherol (mg),0.0113
Theobromine (mg),Vitamin E as alpha-tocopherol (mg),0.0934
Sodium (mmol/L),Vitamin E as alpha-tocopherol (mg),0.0088
Moisture (gm),Vitamin E as alpha-tocopherol (mg),0.3535
MFA 20:1 (Eicosenoic) (gm),Vitamin E as alpha-tocopherol (mg),0.4443
Vitamin B6 (mg),Vitamin E as alpha-tocopherol (mg),0.4787
"Folate, DFE (mcg)",Vitamin E as alpha-tocopherol (mg),0.4585
"Iron, refigerated (umol/L)",Vitamin E as alpha-tocopherol (mg),-0.012
SFA 14:0 (Tetradecanoic) (gm),Vitamin E as alpha-tocopherol (mg),0.5655
"Vitamin A, RAE (mcg)",Vitamin E as alpha-tocopherol (mg),0.5657
Zinc (mg),Vitamin E as alpha-tocopherol (mg),0.513
Niacin (mg),Vitamin E as alpha-tocopherol (mg),0.4965
Total Folate (mcg),Vitamin E as alpha-tocopherol (mg),0.4939
Albumin (g/L),Vitamin E as alpha-tocopherol (mg),0.0306
Sodium (mg),Vitamin E as alpha-tocopherol (mg),0.5861
Total calcium (mmol/L),Vitamin E as alpha-tocopherol (mg),0.0259
Eosinophils number,Vitamin E as alpha-tocopherol (mg),0.0309
Carbohydrate (gm),Vitamin E as alpha-tocopherol (mg),0.5505
Calcium (mg),Vitamin E as alpha-tocopherol (mg),0.436
PFA 20:4 (Eicosatetraenoic) (gm),Vitamin E as alpha-tocopherol (mg),0.191
"Glucose, serum (mmol/L)",Vitamin E as alpha-tocopherol (mg),-0.0454
MFA 22:1 (Docosenoic) (gm),Vitamin E as alpha-tocopherol (mg),0.214
Chloride (mmol/L),Vitamin E as alpha-tocopherol (mg),-0.0113
Copper (mg),Vitamin E as alpha-tocopherol (mg),0.6458
Mean cell volume (fL),Vitamin E as alpha-tocopherol (mg),0.0541
PFA 18:2 (Octadecadienoic) (gm),Vitamin E as alpha-tocopherol (mg),0.8743
Platelet count SI (1000 cells/uL),Vitamin E as alpha-tocopherol (mg),-0.0765
Caffeine (mg),Vitamin E as alpha-tocopherol (mg),0.0553
Monocyte number,Vitamin E as alpha-tocopherol (mg),-0.0045
Total saturated fatty acids (gm),Vitamin E as alpha-tocopherol (mg),0.7503
Total fat (gm),Vitamin E as alpha-tocopherol (mg),0.8237
Cotinine (ng/mL),Vitamin E as alpha-tocopherol (mg),-0.1205
Lymphocyte number,Vitamin E as alpha-tocopherol (mg),-0.0347
Phosphorus (mmol/L),Vitamin E as alpha-tocopherol (mg),0.0059
Monocyte percent (%),Vitamin E as alpha-tocopherol (mg),-0.0026
Added vitamin B12 (mcg),Vitamin E as alpha-tocopherol (mg),0.0723
Total monounsaturated fatty acids (gm),Vitamin E as alpha-tocopherol (mg),0.7918
Total sugars (gm),Vitamin E as alpha-tocopherol (mg),0.4286
Cholesterol (mg),Vitamin E as alpha-tocopherol (mg),0.3596
Phosphorus (mg),Vitamin E as alpha-tocopherol (mg),0.5464
Mean cell hemoglobin (pg),Vitamin E as alpha-tocopherol (mg),0.0492
Mean platelet volume (fL),Vitamin E as alpha-tocopherol (mg),0.0088
"Albumin, urine (mg/L) SI",Vitamin E as alpha-tocopherol (mg),-0.0729
Lycopene (mcg),Vitamin E as alpha-tocopherol (mg),0.2026
Vitamin C (mg),Vitamin E as alpha-tocopherol (mg),0.4771
Alanine aminotransferase ALT (U/L),Vitamin E as alpha-tocopherol (mg),0.0051
